[2011-01-30/20:32:54] mysqlqry | INSERT INTO session (`UserId`, `Ip`, `StartTime`, `LastRequest`, `Hits`, `UserAgent`) VALUES (0, 2130706433, 1296415974, 1296415974, 1, 'Mozilla/5.0 (Windows; U; Windows NT 6.1; en-US) AppleWebKit/534.10 (KHTML, like Gecko) Chrome/8.0.552.237 Safari/534.10')
[2011-01-30/20:32:54] mysqlqry | SELECT a.Id, a.Md5, a.Gender, a.SessionId, a.UploadTime, a.SiteHits, a.PositiveRating, a.NegativeRating, a.DeletionId, b.UserId AS SesUserId, b.Ip AS SesIp, b.StartTime AS SesStartTime, b.LastRequest AS SesLastRequest, b.Hits AS SesHits, b.UserAgent AS SesUserAgent FROM picture AS a INNER JOIN session AS b ON a.SessionId = b.Id WHERE a.DeletionId IS NULL AND a.Gender = 0 ORDER BY RAND() LIMIT 2
[2011-01-30/20:32:57] mysqlqry | SELECT a.Id, a.UserId, a.Ip, a.StartTime, a.LastRequest, a.Hits, a.UserAgent, b.CreationTime, b.CreationIp, b.DeletionId, b.Username, b.Passhash, b.Email FROM session AS a LEFT JOIN user AS b ON a.UserId = b.Id WHERE a.Id = 1
[2011-01-30/20:32:57] mysqlqry | SELECT a.Id, a.Md5, a.Gender, a.SessionId, a.UploadTime, a.SiteHits, a.PositiveRating, a.NegativeRating, a.DeletionId, b.UserId AS SesUserId, b.Ip AS SesIp, b.StartTime AS SesStartTime, b.LastRequest AS SesLastRequest, b.Hits AS SesHits, b.UserAgent AS SesUserAgent FROM picture AS a INNER JOIN session AS b ON a.SessionId = b.Id WHERE a.DeletionId IS NULL AND a.Gender = 0 ORDER BY a.PositiveRating - a.NegativeRating LIMIT 10
[2011-01-30/20:32:57] mysqlqry | UPDATE session SET LastRequest = 1296415977, Hits = 2 WHERE Id = 1
[2011-01-30/20:32:58] mysqlqry | SELECT a.Id, a.UserId, a.Ip, a.StartTime, a.LastRequest, a.Hits, a.UserAgent, b.CreationTime, b.CreationIp, b.DeletionId, b.Username, b.Passhash, b.Email FROM session AS a LEFT JOIN user AS b ON a.UserId = b.Id WHERE a.Id = 1
[2011-01-30/20:32:58] mysqlqry | SELECT a.Id, a.Md5, a.Gender, a.SessionId, a.UploadTime, a.SiteHits, a.PositiveRating, a.NegativeRating, a.DeletionId, b.UserId AS SesUserId, b.Ip AS SesIp, b.StartTime AS SesStartTime, b.LastRequest AS SesLastRequest, b.Hits AS SesHits, b.UserAgent AS SesUserAgent FROM picture AS a INNER JOIN session AS b ON a.SessionId = b.Id WHERE a.DeletionId IS NULL AND a.Gender = 1 ORDER BY a.PositiveRating - a.NegativeRating LIMIT 10
[2011-01-30/20:32:58] mysqlqry | UPDATE session SET LastRequest = 1296415978, Hits = 3 WHERE Id = 1
[2011-01-30/20:32:59] mysqlqry | SELECT a.Id, a.UserId, a.Ip, a.StartTime, a.LastRequest, a.Hits, a.UserAgent, b.CreationTime, b.CreationIp, b.DeletionId, b.Username, b.Passhash, b.Email FROM session AS a LEFT JOIN user AS b ON a.UserId = b.Id WHERE a.Id = 1
[2011-01-30/20:32:59] mysqlqry | SELECT a.Id, a.Md5, a.Gender, a.SessionId, a.UploadTime, a.SiteHits, a.PositiveRating, a.NegativeRating, a.DeletionId, b.UserId AS SesUserId, b.Ip AS SesIp, b.StartTime AS SesStartTime, b.LastRequest AS SesLastRequest, b.Hits AS SesHits, b.UserAgent AS SesUserAgent FROM picture AS a INNER JOIN session AS b ON a.SessionId = b.Id WHERE a.DeletionId IS NULL AND a.Gender = 1 ORDER BY RAND() LIMIT 2
[2011-01-30/20:32:59] mysqlqry | UPDATE session SET LastRequest = 1296415979, Hits = 4 WHERE Id = 1
